id,year,tabac,gum
92.0,2011,5.0,2.0
92.0,2013,10.0,1.0
92.0,2014,10.0,1.0
93.0,2010,12.0,13.0
93.0,2011,8.0,26.0
93.0,2013,3.0,2.0
93.0,2016,10.0,3.0
94.0,2010,24.0,3.0
94.0,2011,17.0,2.0
94.0,2012,2.0,20.0
94.0,2013,10.0,5.0
95.0,2010,10.0,7.0
95.0,2011,27.0,6.0
95.0,2012,5.0,4.0
95.0,2013,11.0,20.0
95.0,2014,10.0,6.0
95.0,2016,4.0,1.0
96.0,2010,10.0,30.0
96.0,2011,24.0,10.0
96.0,2012,27.0,14.0
96.0,2014,10.0,1.0
96.0,2016,7.0,1.0
96.0,2018,4.0,1.0
96.0,2019,4.0,2.0
97.0,2010,9.0,10.0
97.0,2011,4.0,10.0
97.0,2012,10.0,20.0
97.0,2013,5.0,10.0
97.0,2014,5.0,10.0
97.0,2016,20.0,7.0
97.0,2017,4.0,4.0
97.0,2019,10.0,5.0
98.0,2011,20.0,20.0
98.0,2012,24.0,22.0
98.0,2013,10.0,20.0
98.0,2016,12.0,4.0
99.0,2010,30.0,11.0
99.0,2013,10.0,1.0
99.0,2014,10.0,1.0
99.0,2015,6.0,1.0
99.0,2019,5.0,1.0
100.0,2010,21.0,4.0
100.0,2011,18.0,4.0
100.0,2012,28.0,1.0
100.0,2014,14.0,3.0
100.0,2015,10.0,2.0
101.0,2010,10.0,52.0
101.0,2011,45.0,16.0
101.0,2012,53.0,51.0
101.0,2013,20.0,40.0
101.0,2014,22.0,25.0
101.0,2015,19.0,90.0
101.0,2016,21.0,22.0
101.0,2017,19.0,6.0
101.0,2018,19.0,5.0
101.0,2019,21.0,5.0
102.0,2012,17.0,11.0
102.0,2013,14.0,1.0
102.0,2014,10.0,1.0
102.0,2019,4.0,1.0
103.0,2010,22.0,32.0
103.0,2011,2.0,2.0
103.0,2012,20.0,3.0
103.0,2013,7.0,4.0
103.0,2014,17.0,4.0
103.0,2017,7.0,1.0
103.0,2018,7.0,2.0
104.0,2010,20.0,10.0
104.0,2011,7.0,20.0
104.0,2013,10.0,16.0
105.0,2010,25.0,4.0
105.0,2011,17.0,12.0
105.0,2012,10.0,20.0
105.0,2013,7.0,9.0
105.0,2014,20.0,1.0
105.0,2017,10.0,1.0
105.0,2019,8.0,2.0
106.0,2010,29.0,33.0
106.0,2011,7.0,1.0
106.0,2012,10.0,20.0
106.0,2014,7.0,1.0
106.0,2015,7.0,2.0
106.0,2016,7.0,1.0
106.0,2017,11.0,3.0
106.0,2018,14.0,1.0
106.0,2019,7.0,2.0
107.0,2010,3.0,2.0
107.0,2012,10.0,20.0
107.0,2013,4.0,10.0
107.0,2015,7.0,20.0
107.0,2016,7.0,2.0
107.0,2017,3.0,1.0
107.0,2019,4.0,1.0
108.0,2011,48.0,60.0
108.0,2012,16.0,32.0
108.0,2013,3.0,2.0
108.0,2017,6.0,1.0
109.0,2010,37.0,12.0
109.0,2011,57.0,36.0
109.0,2012,22.0,3.0
109.0,2013,40.0,22.0
109.0,2014,15.0,2.0
109.0,2015,22.0,12.0
109.0,2016,12.0,12.0
109.0,2017,11.0,2.0
109.0,2018,16.0,2.0
109.0,2019,12.0,1.0
110.0,2010,10.0,7.0
110.0,2011,4.0,1.0
110.0,2012,14.0,32.0
110.0,2013,3.0,10.0
110.0,2014,3.0,1.0
110.0,2016,10.0,7.0
110.0,2017,4.0,1.0
111.0,2010,29.0,7.0
111.0,2012,4.0,20.0
112.0,2010,7.0,1.0
